epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.597481001507152,1.6644444444444444,4.592136974334717,2.28,0.1
2,4.589485623619773,2.8266666666666667,4.5843864440917965,3.54,0.1
3,4.58329385925423,3.417777777777778,4.585088901519775,3.64,0.1
4,4.579183533787727,4.1866666666666665,4.577904863357544,4.12,0.1
5,4.571685999631882,4.924444444444444,4.568912830352783,5.18,0.1
6,4.566154020753774,5.564444444444445,4.5684450817108155,5.18,0.1
7,4.562862929972735,5.886666666666667,4.5763498973846435,4.46,0.1
8,4.562722021883184,5.864444444444445,4.568290882110595,5.4,0.1
9,4.560838527300141,6.093333333333334,4.564654617309571,5.68,0.1
10,4.559658679095182,6.1755555555555555,4.5588947296142575,6.16,0.1
11,4.557995192029259,6.337777777777778,4.563065757751465,5.74,0.1
12,4.557401613755659,6.371111111111111,4.562494773864746,5.66,0.1
13,4.555558651685715,6.637777777777778,4.556687984466553,6.46,0.1
14,4.552393951199272,6.993333333333333,4.551922616958618,7.0,0.1
15,4.550409489057281,7.177777777777778,4.54932276725769,7.28,0.1
16,4.5472922487692395,7.631111111111111,4.548918590545655,7.42,0.1
17,4.545386212793264,7.773333333333333,4.547446928024292,7.4,0.1
18,4.543811804868958,7.937777777777778,4.545780191421509,7.54,0.1
19,4.5423245402899655,8.04,4.55087532043457,7.1,0.1
20,4.539554784243757,8.311111111111112,4.5478125667572025,7.44,0.1
21,4.538557457652959,8.415555555555555,4.548362436294556,7.46,0.1
22,4.5380713980306275,8.46888888888889,4.546444873809815,7.56,0.1
23,4.5357112451033155,8.64,4.547215461730957,7.4,0.1
24,4.535551729527387,8.76,4.544209117889404,7.82,0.1
25,4.534747218543833,8.82,4.540286111831665,8.2,0.1
26,4.533863883126866,8.882222222222222,4.541954689025879,8.1,0.1
27,4.532490880651907,8.993333333333334,4.534537267684937,8.76,0.1
28,4.531892906535756,9.057777777777778,4.538659257888794,8.3,0.1
29,4.5314590050415555,9.06,4.540614757537842,8.0,0.1
30,4.530104050582105,9.226666666666667,4.53984076499939,8.14,0.1
31,4.529279072176326,9.353333333333333,4.536406259536744,8.76,0.1
32,4.528522426431829,9.373333333333333,4.532845439910889,9.04,0.1
33,4.527416688474742,9.464444444444444,4.541162958145142,8.16,0.1
34,4.526150447401133,9.582222222222223,4.531181707382202,9.28,0.1
35,4.524124018170617,9.948888888888888,4.541910734176636,8.18,0.1
36,4.522422607649457,10.051111111111112,4.539481220245361,8.22,0.1
37,4.521942673759027,10.071111111111112,4.5278387546539305,9.46,0.1
38,4.519897313280539,10.295555555555556,4.529436044692993,9.46,0.1
39,4.520364146340977,10.282222222222222,4.5262220764160155,9.68,0.1
40,4.518739792433652,10.333333333333334,4.522221994400025,10.16,0.1
41,4.51671119982546,10.557777777777778,4.524111022949219,9.72,0.1
42,4.516795914281499,10.564444444444444,4.530408449172974,9.28,0.1
43,4.515622099692171,10.682222222222222,4.525457277297973,9.66,0.1
44,4.514328603040088,10.864444444444445,4.525811891555787,9.48,0.1
45,4.513965985991738,10.935555555555556,4.517415332794189,10.62,0.1
46,4.512613761154088,11.053333333333333,4.517602853775024,10.44,0.1
47,4.510278539224104,11.244444444444444,4.521366901397705,10.0,0.1
48,4.509541438384489,11.357777777777779,4.520712270736694,10.38,0.1
49,4.508916127410802,11.484444444444444,4.515239334106445,10.78,0.1
50,4.505751095034859,11.775555555555556,4.514489183425903,10.86,0.1
