[2026-02-19 23:52:37] Starting training | model=resnet_cifar | mode=collapse
[2026-02-19 23:52:37] Device: cuda
[2026-02-19 23:52:38] Collapse mode: no augmentation, Adam, no weight decay
[2026-02-19 23:52:38] Train: 45000 | Val: 5000 | Test: 10000
[2026-02-19 23:54:49] Epoch 33 | Train Loss: 4.2754 | Train Acc: 35.51% | Val Loss: 4.3471 | Val Acc: 28.14% | LR: 0.001000 | Elapsed: 00:02:10
[2026-02-19 23:54:53] Epoch 34 | Train Loss: 4.2704 | Train Acc: 36.07% | Val Loss: 4.3499 | Val Acc: 27.98% | LR: 0.001000 | Elapsed: 00:02:14
[2026-02-19 23:54:57] Epoch 35 | Train Loss: 4.2648 | Train Acc: 36.59% | Val Loss: 4.3390 | Val Acc: 29.04% | LR: 0.001000 | Elapsed: 00:02:18
[2026-02-19 23:55:01] Epoch 36 | Train Loss: 4.2598 | Train Acc: 37.18% | Val Loss: 4.3444 | Val Acc: 28.42% | LR: 0.001000 | Elapsed: 00:02:23
[2026-02-19 23:55:05] Epoch 37 | Train Loss: 4.2547 | Train Acc: 37.61% | Val Loss: 4.3339 | Val Acc: 29.52% | LR: 0.001000 | Elapsed: 00:02:27
[2026-02-19 23:55:09] Epoch 38 | Train Loss: 4.2503 | Train Acc: 38.09% | Val Loss: 4.3355 | Val Acc: 29.40% | LR: 0.001000 | Elapsed: 00:02:31
[2026-02-19 23:55:13] Epoch 39 | Train Loss: 4.2452 | Train Acc: 38.58% | Val Loss: 4.3418 | Val Acc: 28.68% | LR: 0.001000 | Elapsed: 00:02:34
[2026-02-19 23:55:17] Epoch 40 | Train Loss: 4.2387 | Train Acc: 39.20% | Val Loss: 4.3388 | Val Acc: 28.92% | LR: 0.001000 | Elapsed: 00:02:38
[2026-02-19 23:55:21] Epoch 41 | Train Loss: 4.2319 | Train Acc: 39.89% | Val Loss: 4.3376 | Val Acc: 28.88% | LR: 0.001000 | Elapsed: 00:02:42
[2026-02-19 23:55:25] Epoch 42 | Train Loss: 4.2293 | Train Acc: 40.16% | Val Loss: 4.3237 | Val Acc: 30.92% | LR: 0.001000 | Elapsed: 00:02:46
[2026-02-19 23:55:29] Epoch 43 | Train Loss: 4.2251 | Train Acc: 40.56% | Val Loss: 4.3300 | Val Acc: 29.90% | LR: 0.001000 | Elapsed: 00:02:50
[2026-02-19 23:55:32] Epoch 44 | Train Loss: 4.2198 | Train Acc: 41.07% | Val Loss: 4.3306 | Val Acc: 29.70% | LR: 0.001000 | Elapsed: 00:02:54
[2026-02-19 23:55:36] Epoch 45 | Train Loss: 4.2179 | Train Acc: 41.25% | Val Loss: 4.3281 | Val Acc: 30.12% | LR: 0.001000 | Elapsed: 00:02:58
[2026-02-19 23:55:40] Epoch 46 | Train Loss: 4.2164 | Train Acc: 41.34% | Val Loss: 4.3297 | Val Acc: 30.02% | LR: 0.001000 | Elapsed: 00:03:02
[2026-02-19 23:55:44] Epoch 47 | Train Loss: 4.2099 | Train Acc: 42.01% | Val Loss: 4.3312 | Val Acc: 29.92% | LR: 0.001000 | Elapsed: 00:03:06
[2026-02-19 23:55:48] Epoch 48 | Train Loss: 4.2069 | Train Acc: 42.31% | Val Loss: 4.3215 | Val Acc: 30.56% | LR: 0.001000 | Elapsed: 00:03:10
[2026-02-19 23:55:52] Epoch 49 | Train Loss: 4.2050 | Train Acc: 42.47% | Val Loss: 4.3320 | Val Acc: 29.46% | LR: 0.001000 | Elapsed: 00:03:14
[2026-02-19 23:55:56] Epoch 50 | Train Loss: 4.2022 | Train Acc: 42.73% | Val Loss: 4.3296 | Val Acc: 30.18% | LR: 0.001000 | Elapsed: 00:03:18
[2026-02-19 23:56:00] Epoch 51 | Train Loss: 4.1992 | Train Acc: 43.04% | Val Loss: 4.3277 | Val Acc: 30.44% | LR: 0.001000 | Elapsed: 00:03:21
[2026-02-19 23:56:04] Epoch 52 | Train Loss: 4.1973 | Train Acc: 43.21% | Val Loss: 4.3264 | Val Acc: 30.20% | LR: 0.001000 | Elapsed: 00:03:26
[2026-02-19 23:56:08] Epoch 53 | Train Loss: 4.1936 | Train Acc: 43.52% | Val Loss: 4.3191 | Val Acc: 30.82% | LR: 0.001000 | Elapsed: 00:03:30
[2026-02-19 23:56:12] Epoch 54 | Train Loss: 4.1915 | Train Acc: 43.77% | Val Loss: 4.3297 | Val Acc: 29.88% | LR: 0.001000 | Elapsed: 00:03:34
[2026-02-19 23:56:16] Epoch 55 | Train Loss: 4.1872 | Train Acc: 44.14% | Val Loss: 4.3285 | Val Acc: 29.84% | LR: 0.001000 | Elapsed: 00:03:38
[2026-02-19 23:56:20] Epoch 56 | Train Loss: 4.1858 | Train Acc: 44.37% | Val Loss: 4.3393 | Val Acc: 28.78% | LR: 0.001000 | Elapsed: 00:03:42
[2026-02-19 23:56:24] Epoch 57 | Train Loss: 4.1831 | Train Acc: 44.57% | Val Loss: 4.3293 | Val Acc: 29.86% | LR: 0.001000 | Elapsed: 00:03:46
[2026-02-19 23:56:28] Epoch 58 | Train Loss: 4.1799 | Train Acc: 44.90% | Val Loss: 4.3336 | Val Acc: 29.64% | LR: 0.001000 | Elapsed: 00:03:50
