epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.603542577136647,1.16,4.602458727359772,1.24,0.09999975326009292
2,4.60001061043956,1.6933333333333334,4.5944772362709045,2.84,0.09999901304280685
3,4.5949180126190186,2.3666666666666667,4.592818152904511,2.48,0.0999977793554475
4,4.594661074605855,2.422222222222222,4.5937534213066105,2.94,0.09999605221019083
5,4.594385079362175,2.42,4.591556549072266,2.56,0.09999383162408305
6,4.594087875702164,2.497777777777778,4.595490324497223,2.58,0.09999111761904048
