epoch,train_loss,train_acc,val_loss,val_acc,lr
1,4.5758024697954,4.52,4.564196717739105,5.88,0.001
2,4.55030972849239,7.502222222222223,4.547094988822937,7.98,0.001
3,4.531836187297648,9.471111111111112,4.536238193511963,9.38,0.001
4,4.512516006827354,11.644444444444444,4.513067054748535,11.5,0.001
5,4.4970542815598575,13.133333333333333,4.499197578430175,12.9,0.001
6,4.484891421415589,14.295555555555556,4.490570068359375,13.9,0.001
7,4.475309537215666,15.348888888888888,4.491013300418854,13.7,0.001
8,4.464996599338272,16.344444444444445,4.48121440410614,14.66,0.001
9,4.456289422782985,17.24222222222222,4.466509461402893,16.48,0.001
10,4.446486490693959,18.22,4.456904947757721,17.38,0.001
11,4.436456826600161,19.226666666666667,4.448520481586456,18.36,0.001
12,4.424228698015213,20.586666666666666,4.447586727142334,18.5,0.001
13,4.414015493609688,21.72222222222222,4.438013112545013,19.42,0.001
14,4.406198385086927,22.335555555555555,4.425133764743805,20.6,0.001
15,4.397660621187904,23.29111111111111,4.415526628494263,21.5,0.001
16,4.387950951402837,24.386666666666667,4.411599743366241,22.1,0.001
17,4.378520396622744,25.375555555555554,4.4064552783966064,22.36,0.001
18,4.369781617413867,26.155555555555555,4.404960429668426,22.9,0.001
19,4.362264921719378,26.897777777777776,4.394097113609314,23.94,0.001
20,4.354505381800911,27.704444444444444,4.39293520450592,23.8,0.001
21,4.347966073588892,28.25777777777778,4.378535568714142,25.22,0.001
22,4.342289524999532,28.866666666666667,4.38161381483078,24.94,0.001
23,4.333480463786558,29.813333333333333,4.391163039207458,24.38,0.001
24,4.327918408946558,30.322222222222223,4.38357560634613,24.92,0.001
25,4.3234240263700485,30.715555555555557,4.3768279433250425,25.22,0.001
26,4.318579523400827,31.253333333333334,4.3707076668739315,26.28,0.001
27,4.312481206926432,31.76,4.367495107650757,26.42,0.001
28,4.305756316943602,32.45111111111111,4.364845645427704,26.48,0.001
29,4.303231392394412,32.69111111111111,4.36013650894165,27.02,0.001
30,4.2951255007223645,33.54888888888889,4.3604495286941525,27.22,0.001
31,4.288899574767459,34.13333333333333,4.355776000022888,27.5,0.001
32,4.2809838950634,35.01111111111111,4.347896707057953,28.14,0.001
33,4.2753926881335,35.513333333333335,4.347074627876282,28.14,0.001
34,4.270384226333011,36.07333333333333,4.349870645999909,27.98,0.001
35,4.26475261693651,36.59111111111111,4.339048361778259,29.04,0.001
36,4.259808893908154,37.175555555555555,4.344353747367859,28.42,0.001
37,4.2547355714169415,37.611111111111114,4.333944463729859,29.52,0.001
38,4.250250771641731,38.086666666666666,4.335521686077118,29.4,0.001
39,4.245164273814722,38.58222222222222,4.341839492321014,28.68,0.001
40,4.2386930977756325,39.2,4.338814520835877,28.92,0.001
41,4.231948528777469,39.88666666666666,4.337625277042389,28.88,0.001
42,4.229342356324196,40.15777777777778,4.32368311882019,30.92,0.001
43,4.2251415537162265,40.55777777777778,4.330004727840423,29.9,0.001
44,4.2198019325733185,41.068888888888885,4.330589056015015,29.7,0.001
45,4.217859872362831,41.25333333333333,4.328109240531921,30.12,0.001
46,4.216355104338039,41.34222222222222,4.329689788818359,30.02,0.001
47,4.209886086258021,42.013333333333335,4.331211709976197,29.92,0.001
48,4.206889495253563,42.30888888888889,4.3214604496955875,30.56,0.001
49,4.205014996907928,42.46888888888889,4.3320132970809935,29.46,0.001
50,4.202222181992098,42.733333333333334,4.32963616847992,30.18,0.001
51,4.199169142679735,43.044444444444444,4.327690863609314,30.44,0.001
52,4.197252923792059,43.21333333333333,4.326434779167175,30.2,0.001
53,4.193574951453642,43.51555555555556,4.319136130809784,30.82,0.001
54,4.191548473455689,43.766666666666666,4.3297407865524296,29.88,0.001
55,4.187161559408361,44.13777777777778,4.328504610061645,29.84,0.001
56,4.1857880313288085,44.37111111111111,4.339264047145844,28.78,0.001
57,4.183089133013379,44.57333333333333,4.329276025295258,29.86,0.001
58,4.179918301376429,44.904444444444444,4.333584880828857,29.64,0.001
59,4.178688553246585,45.03777777777778,4.3275572776794435,30.16,0.001
60,4.172892724925822,45.61555555555555,4.334477984905243,29.44,0.001
61,4.173709193413908,45.53333333333333,4.322433149814605,30.78,0.001
62,4.169240140102127,46.01777777777778,4.322467708587647,30.86,0.001
63,4.167800232768059,46.08222222222222,4.324871397018432,30.2,0.001
64,4.165391071276232,46.33555555555556,4.327809286117554,30.02,0.001
65,4.163016615943476,46.55111111111111,4.320090734958649,30.96,0.001
66,4.158679575405338,46.94888888888889,4.322025668621063,30.8,0.001
67,4.15908011387695,46.96888888888889,4.319259655475617,31.0,0.001
68,4.155624863776294,47.23555555555556,4.321159756183624,30.28,0.001
69,4.153046957471154,47.50888888888889,4.32567138671875,29.94,0.001
70,4.152172016826543,47.66888888888889,4.322719526290894,30.74,0.001
71,4.150282485918566,47.766666666666666,4.324799168109894,30.46,0.001
72,4.148440798575228,48.07555555555555,4.31790724992752,31.26,0.001
73,4.1433110508051785,48.577777777777776,4.316634941101074,31.22,0.001
74,4.1401618678461425,48.922222222222224,4.316131830215454,31.42,0.001
75,4.136313823136416,49.23555555555556,4.315869569778442,31.36,0.001
76,4.133693957870657,49.568888888888885,4.322036457061768,30.74,0.001
